"WO","District","LeadTech","Service","Rush","ReqDate","WorkDate","Techs","WtyLbr","WtyParts"," LbrHrs "," PartsCost ","Payment"," Wait ","LbrRate"," LbrCost "," LbrFee "," PartsFee "," TotalCost "," TotalFee ","ReqDay","WorkDay","ROW_NUMBER","FILE_NAME","FILE_DATE"
"A00297","Northwest","Khan","Assess","","02-Dec-20","17-Dec-20",1,"","",0.5," 30.00 ","C.O.D."," 15 ",80," 40.00 "," 40.00 "," 30.00 "," 70.00 "," 70.00 ","Wed","Thu",198,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00298","Northwest","Khan","Assess","Yes","02-Dec-20","15-Dec-20",1,"","",0.5," 52.90 ","C.O.D."," 13 ",80," 40.00 "," 40.00 "," 52.90 "," 92.90 "," 92.90 ","Wed","Tue",199,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00299","Northwest","Cartier","Deliver","Yes","02-Dec-20","17-Dec-20",1,"","",0.25," 36.75 ","Account"," 15 ",80," 20.00 "," 20.00 "," 36.75 "," 56.75 "," 56.75 ","Wed","Thu",200,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00300","Southeast","Michner","Deliver","","02-Dec-20","07-Jan-21",1,"","",0.25," 45.24 ","C.O.D."," 36 ",80," 20.00 "," 20.00 "," 45.24 "," 65.24 "," 65.24 ","Wed","Thu",201,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00301","Northwest","Cartier","Replace","Yes","02-Dec-20","27-Jan-21",1,"","",0.75," 42.66 ","Account"," 56 ",80," 60.00 "," 60.00 "," 42.66 "," 102.66 "," 102.66 ","Wed","Wed",202,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00302","North","Ling","Replace","","02-Dec-20","15-Feb-21",2,"","",1.0," 226.00 ","Account"," 75 ",140," 140.00 "," 140.00 "," 226.00 "," 366.00 "," 366.00 ","Wed","Mon",203,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00303","South","Michner","Assess","","03-Dec-20","06-Jan-21",2,"","",0.5," 45.24 ","Account"," 34 ",140," 70.00 "," 70.00 "," 45.24 "," 115.24 "," 115.24 ","Thu","Wed",204,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00304","Northwest","Burton","Deliver","Yes","03-Dec-20","25-Jan-21",1,"","",0.25," 36.97 ","C.O.D."," 53 ",80," 20.00 "," 20.00 "," 36.97 "," 56.97 "," 56.97 ","Thu","Mon",205,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00305","South","Lopez","Assess","","05-Dec-20","23-Dec-20",1,"","",0.5," 138.57 ","Account"," 18 ",80," 40.00 "," 40.00 "," 138.57 "," 178.57 "," 178.57 ","Sat","Wed",206,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00306","South","Lopez","Deliver","","05-Dec-20","06-Jan-21",1,"","",0.25," 126.56 ","Account"," 32 ",80," 20.00 "," 20.00 "," 126.56 "," 146.56 "," 146.56 ","Sat","Wed",207,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00307","West","Burton","Install","","07-Dec-20","05-Jan-21",2,"","",1.0," 51.45 ","P.O."," 29 ",140," 140.00 "," 140.00 "," 51.45 "," 191.45 "," 191.45 ","Mon","Tue",208,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00308","South","Lopez","Deliver","","07-Dec-20","07-Jan-21",1,"","",0.25," 227.94 ","Account"," 31 ",80," 20.00 "," 20.00 "," 227.94 "," 247.94 "," 247.94 ","Mon","Thu",209,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00309","Northwest","Michner","Replace","","07-Dec-20","11-Jan-21",1,"","",0.5," 367.71 ","P.O."," 35 ",80," 40.00 "," 40.00 "," 367.71 "," 407.71 "," 407.71 ","Mon","Mon",210,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00310","North","Khan","Replace","","07-Dec-20","12-Jan-21",2,"","",1.25," 637.53 ","Account"," 36 ",140," 175.00 "," 175.00 "," 637.53 "," 812.53 "," 812.53 ","Mon","Tue",211,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00311","Central","Khan","Replace","","08-Dec-20","15-Dec-20",2,"","",3.0," 21.33 ","Account"," 7 ",140," 420.00 "," 420.00 "," 21.33 "," 441.33 "," 441.33 ","Tue","Tue",212,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00312","West","Cartier","Replace","","08-Dec-20","16-Dec-20",2,"","",1.5," 318.73 ","Account"," 8 ",140," 210.00 "," 210.00 "," 318.73 "," 528.73 "," 528.73 ","Tue","Wed",213,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00313","Northwest","Cartier","Replace","Yes","08-Dec-20","12-Feb-21",2,"","",0.75," 35.45 ","Account"," 66 ",140," 105.00 "," 105.00 "," 35.45 "," 140.45 "," 140.45 ","Tue","Fri",214,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00314","South","Lopez","Install","","09-Dec-20","17-Dec-20",1,"","",1.75," 131.30 ","P.O."," 8 ",80," 140.00 "," 140.00 "," 131.30 "," 271.30 "," 271.30 ","Wed","Thu",215,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00315","Northwest","Cartier","Deliver","","09-Dec-20","11-Jan-21",1,"","",0.25," 37.26 ","C.O.D."," 33 ",80," 20.00 "," 20.00 "," 37.26 "," 57.26 "," 57.26 ","Wed","Mon",216,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00316","Northeast","Michner","Install","","09-Dec-20","12-Jan-21",2,"","",3.0," 1,193.75 ","C.O.D."," 34 ",140," 420.00 "," 420.00 "," 1,193.75 "," 1,613.75 "," 1,613.75 ","Wed","Tue",217,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00317","Southeast","Michner","Replace","Yes","10-Dec-20","14-Dec-20",1,"","",0.5," 250.42 ","C.O.D."," 4 ",80," 40.00 "," 40.00 "," 250.42 "," 290.42 "," 290.42 ","Thu","Mon",218,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00318","South","Lopez","Deliver","","10-Dec-20","07-Jan-21",1,"","",0.25," 67.70 ","P.O."," 28 ",80," 20.00 "," 20.00 "," 67.70 "," 87.70 "," 87.70 ","Thu","Thu",219,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00319","Central","Burton","Install","","10-Dec-20","07-Jan-21",2,"","",1.25," 58.24 ","Account"," 28 ",140," 175.00 "," 175.00 "," 58.24 "," 233.24 "," 233.24 ","Thu","Thu",220,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00320","West","Lopez","Assess","","10-Dec-20","14-Jan-21",1,"","",0.5," 32.23 ","P.O."," 35 ",80," 40.00 "," 40.00 "," 32.23 "," 72.23 "," 72.23 ","Thu","Thu",221,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00321","Central","Khan","Replace","","10-Dec-20","23-Jan-21",1,"","",2.25," 180.00 ","Account"," 44 ",80," 180.00 "," 180.00 "," 180.00 "," 360.00 "," 360.00 ","Thu","Sat",222,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00322","West","Khan","Assess","Yes","12-Dec-20","28-Jan-21",1,"","",1.0," 337.92 ","Account"," 47 ",80," 80.00 "," 80.00 "," 337.92 "," 417.92 "," 417.92 ","Sat","Thu",223,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00323","Northwest","Michner","Assess","Yes","14-Dec-20","15-Dec-20",1,"","",0.75," 63.99 ","Account"," 1 ",80," 60.00 "," 60.00 "," 63.99 "," 123.99 "," 123.99 ","Mon","Tue",224,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00324","West","Khan","Assess","","14-Dec-20","16-Dec-20",1,"","",0.5," 145.89 ","P.O."," 2 ",80," 40.00 "," 40.00 "," 145.89 "," 185.89 "," 185.89 ","Mon","Wed",225,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00325","West","Khan","Deliver","","14-Dec-20","04-Jan-21",1,"","",0.25," 30.00 ","P.O."," 21 ",80," 20.00 "," 20.00 "," 30.00 "," 50.00 "," 50.00 ","Mon","Mon",226,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00326","West","Khan","Replace","","14-Dec-20","04-Jan-21",1,"","",0.5," 57.10 ","Account"," 21 ",80," 40.00 "," 40.00 "," 57.10 "," 97.10 "," 97.10 ","Mon","Mon",227,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00327","North","Khan","Install","","14-Dec-20","13-Jan-21",2,"","",3.5," 262.44 ","Account"," 30 ",140," 490.00 "," 490.00 "," 262.44 "," 752.44 "," 752.44 ","Mon","Wed",228,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00328","West","Khan","Assess","","14-Dec-20","19-Jan-21",1,"","",0.5," 21.33 ","P.O."," 36 ",80," 40.00 "," 40.00 "," 21.33 "," 61.33 "," 61.33 ","Mon","Tue",229,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00329","South","Lopez","Repair","","14-Dec-20","04-May-21",1,"","",4.0," 1,769.63 ","P.O."," 141 ",80," 320.00 "," 320.00 "," 1,769.63 "," 2,089.63 "," 2,089.63 ","Mon","Tue",230,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00330","South","Lopez","Replace","","15-Dec-20","13-Jan-21",1,"","",0.75," 82.88 ","P.O."," 29 ",80," 60.00 "," 60.00 "," 82.88 "," 142.88 "," 142.88 ","Tue","Wed",231,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00331","Central","Michner","Assess","","15-Dec-20","25-Jan-21",2,"","",0.75," 2,294.00 ","Account"," 41 ",140," 105.00 "," 105.00 "," 2,294.00 "," 2,399.00 "," 2,399.00 ","Tue","Mon",232,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00332","Southeast","Khan","Assess","","16-Dec-20","23-Dec-20",1,"","",1.0," 348.74 ","Account"," 7 ",80," 80.00 "," 80.00 "," 348.74 "," 428.74 "," 428.74 ","Wed","Wed",233,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00333","South","Lopez","Assess","","16-Dec-20","14-Jan-21",1,"","",0.25," 140.40 ","Account"," 29 ",80," 20.00 "," 20.00 "," 140.40 "," 160.40 "," 160.40 ","Wed","Thu",234,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00334","East","Ling","Assess","","16-Dec-20","01-Feb-21",2,"","",0.5," 134.00 ","Account"," 47 ",140," 70.00 "," 70.00 "," 134.00 "," 204.00 "," 204.00 ","Wed","Mon",235,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00335","Northwest","Burton","Repair","","21-Dec-20","26-Jan-21",2,"","",1.0," 305.63 ","Account"," 36 ",140," 140.00 "," 140.00 "," 305.63 "," 445.63 "," 445.63 ","Mon","Tue",236,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00336","Northwest","Michner","Assess","Yes","04-Jan-21","11-Jan-21",1,"","",0.25," 19.20 ","Account"," 7 ",80," 20.00 "," 20.00 "," 19.20 "," 39.20 "," 39.20 ","Mon","Mon",237,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00337","South","Lopez","Assess","","04-Jan-21","13-Jan-21",1,"","",0.5," 18.53 ","P.O."," 9 ",80," 40.00 "," 40.00 "," 18.53 "," 58.53 "," 58.53 ","Mon","Wed",238,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00338","West","Lopez","Deliver","","04-Jan-21","13-Jan-21",1,"","",0.25," 39.00 ","Account"," 9 ",80," 20.00 "," 20.00 "," 39.00 "," 59.00 "," 59.00 ","Mon","Wed",239,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00339","South","Lopez","Assess","","04-Jan-21","14-Jan-21",2,"","",0.25," 36.50 ","P.O."," 10 ",140," 35.00 "," 35.00 "," 36.50 "," 71.50 "," 71.50 ","Mon","Thu",240,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00340","Central","Cartier","Assess","","04-Jan-21","14-Jan-21",2,"","",0.5," 29.81 ","C.O.D."," 10 ",140," 70.00 "," 70.00 "," 29.81 "," 99.81 "," 99.81 ","Mon","Thu",241,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00341","Central","Michner","Assess","","04-Jan-21","14-Jan-21",1,"","",0.25," 43.02 ","Account"," 10 ",80," 20.00 "," 20.00 "," 43.02 "," 63.02 "," 63.02 ","Mon","Thu",242,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00342","Northwest","Burton","Deliver","","04-Jan-21","21-Jan-21",1,"","",0.25," 66.86 ","Account"," 17 ",80," 20.00 "," 20.00 "," 66.86 "," 86.86 "," 86.86 ","Mon","Thu",243,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00343","Northwest","Burton","Replace","","04-Jan-21","11-Feb-21",1,"","",0.75," 408.57 ","Account"," 38 ",80," 60.00 "," 60.00 "," 408.57 "," 468.57 "," 468.57 ","Mon","Thu",244,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00344","South","Lopez","Assess","","05-Jan-21","14-Jan-21",1,"","",0.25," 25.25 ","P.O."," 9 ",80," 20.00 "," 20.00 "," 25.25 "," 45.25 "," 45.25 ","Tue","Thu",245,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00345","Central","Cartier","Replace","","05-Jan-21","25-Jan-21",1,"","",1.25," 646.00 ","Account"," 20 ",80," 100.00 "," 100.00 "," 646.00 "," 746.00 "," 746.00 ","Tue","Mon",246,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00346","Central","Michner","Deliver","","05-Jan-21","30-Jan-21",1,"","",0.25," 125.42 ","C.O.D."," 25 ",80," 20.00 "," 20.00 "," 125.42 "," 145.42 "," 145.42 ","Tue","Sat",247,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00347","Northwest","Khan","Assess","","05-Jan-21","02-Feb-21",2,"","",0.75," 286.73 ","Account"," 28 ",140," 105.00 "," 105.00 "," 286.73 "," 391.73 "," 391.73 ","Tue","Tue",248,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00348","South","Michner","Install","","05-Jan-21","02-Feb-21",1,"","",2.5," 258.03 ","C.O.D."," 28 ",80," 200.00 "," 200.00 "," 258.03 "," 458.03 "," 458.03 ","Tue","Tue",249,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00349","South","Lopez","Assess","","05-Jan-21","04-May-21",1,"","",0.25," 14.30 ","P.O."," 119 ",80," 20.00 "," 20.00 "," 14.30 "," 34.30 "," 34.30 ","Tue","Tue",250,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00350","South","Lopez","Assess","","06-Jan-21","18-Jan-21",1,"","",0.25," 44.85 ","P.O."," 12 ",80," 20.00 "," 20.00 "," 44.85 "," 64.85 "," 64.85 ","Wed","Mon",251,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00351","Northwest","Michner","Assess","","06-Jan-21","21-Jan-21",2,"","",0.5," 74.61 ","C.O.D."," 15 ",140," 70.00 "," 70.00 "," 74.61 "," 144.61 "," 144.61 ","Wed","Thu",252,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00352","North","Ling","Replace","Yes","06-Jan-21","03-Feb-21",2,"","",0.5," 126.71 ","Account"," 28 ",140," 70.00 "," 70.00 "," 126.71 "," 196.71 "," 196.71 ","Wed","Wed",253,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00353","North","Ling","Replace","","06-Jan-21","04-Mar-21",2,"","",1.25," 256.84 ","Account"," 57 ",140," 175.00 "," 175.00 "," 256.84 "," 431.84 "," 431.84 ","Wed","Thu",254,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00354","Southeast","Cartier","Deliver","","07-Jan-21","19-Jan-21",1,"","",0.25," 32.67 ","P.O."," 12 ",80," 20.00 "," 20.00 "," 32.67 "," 52.67 "," 52.67 ","Thu","Tue",255,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00355","Northwest","Cartier","Assess","Yes","07-Jan-21","01-Feb-21",2,"","",0.5," 72.35 ","Account"," 25 ",140," 70.00 "," 70.00 "," 72.35 "," 142.35 "," 142.35 ","Thu","Mon",256,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00356","North","Ling","Replace","","07-Jan-21","05-Feb-21",2,"","",0.5," 178.50 ","C.O.D."," 29 ",140," 70.00 "," 70.00 "," 178.50 "," 248.50 "," 248.50 ","Thu","Fri",257,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00357","Northwest","Burton","Replace","","07-Jan-21","22-Feb-21",1,"","",0.5," 18.25 ","C.O.D."," 46 ",80," 40.00 "," 40.00 "," 18.25 "," 58.25 "," 58.25 ","Thu","Mon",258,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00358","North","Ling","Assess","","07-Jan-21","22-Feb-21",2,"","",1.75," 151.81 ","C.O.D."," 46 ",140," 245.00 "," 245.00 "," 151.81 "," 396.81 "," 396.81 ","Thu","Mon",259,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00359","Southeast","Burton","Deliver","","08-Jan-21","16-Jan-21",1,"","",0.25," 85.09 ","C.O.D."," 8 ",80," 20.00 "," 20.00 "," 85.09 "," 105.09 "," 105.09 ","Fri","Sat",260,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00360","South","Lopez","Assess","","08-Jan-21","01-Feb-21",1,"","",0.25," 67.07 ","Account"," 24 ",80," 20.00 "," 20.00 "," 67.07 "," 87.07 "," 87.07 ","Fri","Mon",261,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00361","South","Lopez","Deliver","","11-Jan-21","21-Jan-21",1,"","",0.25," 162.21 ","Account"," 10 ",80," 20.00 "," 20.00 "," 162.21 "," 182.21 "," 182.21 ","Mon","Thu",262,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00362","Southeast","Burton","Install","","11-Jan-21","28-Jan-21",1,"","",1.25," 53.69 ","Account"," 17 ",80," 100.00 "," 100.00 "," 53.69 "," 153.69 "," 153.69 ","Mon","Thu",263,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00363","Southeast","Michner","Assess","","11-Jan-21","01-Feb-21",2,"","",1.0," 211.85 ","C.O.D."," 21 ",140," 140.00 "," 140.00 "," 211.85 "," 351.85 "," 351.85 ","Mon","Mon",264,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00364","South","Lopez","Assess","","11-Jan-21","01-Feb-21",1,"","",0.25," 150.32 ","P.O."," 21 ",80," 20.00 "," 20.00 "," 150.32 "," 170.32 "," 170.32 ","Mon","Mon",265,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00365","East","Ling","Assess","","11-Jan-21","23-Feb-21",2,"","",0.25," 46.86 ","Account"," 43 ",140," 35.00 "," 35.00 "," 46.86 "," 81.86 "," 81.86 ","Mon","Tue",266,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00366","South","Lopez","Assess","","12-Jan-21","21-Jan-21",1,"","",0.25," 19.50 ","P.O."," 9 ",80," 20.00 "," 20.00 "," 19.50 "," 39.50 "," 39.50 ","Tue","Thu",267,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00367","Central","Cartier","Replace","","12-Jan-21","19-Jan-21",1,"","",1.25," 256.72 ","C.O.D."," 7 ",80," 100.00 "," 100.00 "," 256.72 "," 356.72 "," 356.72 ","Tue","Tue",268,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00368","Northwest","Khan","Replace","","13-Jan-21","30-Jan-21",1,"","",1.0," 86.29 ","C.O.D."," 17 ",80," 80.00 "," 80.00 "," 86.29 "," 166.29 "," 166.29 ","Wed","Sat",269,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00369","South","Lopez","Assess","","14-Jan-21","19-Jan-21",1,"","",0.25," 108.31 ","P.O."," 5 ",80," 20.00 "," 20.00 "," 108.31 "," 128.31 "," 128.31 ","Thu","Tue",270,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00370","Southeast","Cartier","Assess","","14-Jan-21","25-Jan-21",1,"","",0.25," 70.82 ","C.O.D."," 11 ",80," 20.00 "," 20.00 "," 70.82 "," 90.82 "," 90.82 ","Thu","Mon",271,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00371","South","Lopez","Assess","Yes","14-Jan-21","01-Feb-21",1,"","",0.5," 56.92 ","Account"," 18 ",80," 40.00 "," 40.00 "," 56.92 "," 96.92 "," 96.92 ","Thu","Mon",272,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00372","Northwest","Burton","Assess","","14-Jan-21","05-Feb-21",2,"","",0.5," 74.53 ","C.O.D."," 22 ",140," 70.00 "," 70.00 "," 74.53 "," 144.53 "," 144.53 ","Thu","Fri",273,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00373","North","Ling","Assess","","14-Jan-21","15-Feb-21",2,"","",0.5," 137.22 ","Account"," 32 ",140," 70.00 "," 70.00 "," 137.22 "," 207.22 "," 207.22 ","Thu","Mon",274,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00374","Northwest","Cartier","Assess","Yes","15-Jan-21","01-Feb-21",2,"","",0.5," 83.46 ","Account"," 17 ",140," 70.00 "," 70.00 "," 83.46 "," 153.46 "," 153.46 ","Fri","Mon",275,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00375","West","Khan","Assess","","16-Jan-21","03-Feb-21",1,"","",1.0," 9.92 ","P.O."," 18 ",80," 80.00 "," 80.00 "," 9.92 "," 89.92 "," 89.92 ","Sat","Wed",276,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00376","Southeast","Cartier","Assess","","18-Jan-21","25-Jan-21",1,"","",0.25," 72.35 ","C.O.D."," 7 ",80," 20.00 "," 20.00 "," 72.35 "," 92.35 "," 92.35 ","Mon","Mon",277,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00377","Northwest","Cartier","Deliver","Yes","18-Jan-21","27-Jan-21",1,"","",0.25," 19.98 ","Account"," 9 ",80," 20.00 "," 20.00 "," 19.98 "," 39.98 "," 39.98 ","Mon","Wed",278,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00378","East","Ling","Repair","","18-Jan-21","02-Feb-21",2,"","",1.25," 85.32 ","Account"," 15 ",140," 175.00 "," 175.00 "," 85.32 "," 260.32 "," 260.32 ","Mon","Tue",279,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00379","West","Khan","Assess","","18-Jan-21","01-Mar-21",1,"","",0.5," 180.00 ","P.O."," 42 ",80," 40.00 "," 40.00 "," 180.00 "," 220.00 "," 220.00 ","Mon","Mon",280,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00380","East","Ling","Assess","","19-Jan-21","04-Feb-21",2,"","",0.25," 52.35 ","Account"," 16 ",140," 35.00 "," 35.00 "," 52.35 "," 87.35 "," 87.35 ","Tue","Thu",281,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00381","East","Ling","Assess","","19-Jan-21","09-Feb-21",2,"","",0.5," 45.29 ","Account"," 21 ",140," 70.00 "," 70.00 "," 45.29 "," 115.29 "," 115.29 ","Tue","Tue",282,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00382","South","Lopez","Deliver","","20-Jan-21","28-Jan-21",1,"","",0.25," 11.70 ","Account"," 8 ",80," 20.00 "," 20.00 "," 11.70 "," 31.70 "," 31.70 ","Wed","Thu",283,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00383","Central","Khan","Deliver","","20-Jan-21","13-May-21",1,"","",0.25," 37.71 ","P.O."," 113 ",80," 20.00 "," 20.00 "," 37.71 "," 57.71 "," 57.71 ","Wed","Thu",284,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00384","Central","Michner","Install","","21-Jan-21","02-Feb-21",1,"","",1.0," 155.04 ","C.O.D."," 12 ",80," 80.00 "," 80.00 "," 155.04 "," 235.04 "," 235.04 ","Thu","Tue",285,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00385","South","Lopez","Assess","","21-Jan-21","12-Feb-21",1,"","",1.25," 93.60 ","P.O."," 22 ",80," 100.00 "," 100.00 "," 93.60 "," 193.60 "," 193.60 ","Thu","Fri",286,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00386","North","Ling","Deliver","","21-Jan-21","10-Feb-21",1,"","",0.25," 21.33 ","Account"," 20 ",80," 20.00 "," 20.00 "," 21.33 "," 41.33 "," 41.33 ","Thu","Wed",287,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00387","Central","Burton","Repair","","21-Jan-21","23-Mar-21",1,"","",2.5," 357.11 ","Account"," 61 ",80," 200.00 "," 200.00 "," 357.11 "," 557.11 "," 557.11 ","Thu","Tue",288,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00388","Northwest","Burton","Deliver","","22-Jan-21","30-Jan-21",1,"","",0.25," 120.00 ","C.O.D."," 8 ",80," 20.00 "," 20.00 "," 120.00 "," 140.00 "," 140.00 ","Fri","Sat",289,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00389","Southeast","Burton","Replace","","25-Jan-21","09-Feb-21",1,"","",0.5," 52.35 ","C.O.D."," 15 ",80," 40.00 "," 40.00 "," 52.35 "," 92.35 "," 92.35 ","Mon","Tue",290,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00390","Northwest","Cartier","Replace","","25-Jan-21","15-Feb-21",1,"","",3.25," 511.88 ","Account"," 21 ",80," 260.00 "," 260.00 "," 511.88 "," 771.88 "," 771.88 ","Mon","Mon",291,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00391","North","Ling","Replace","","25-Jan-21","20-Mar-21",2,"","",2.0," 368.87 ","Account"," 54 ",140," 280.00 "," 280.00 "," 368.87 "," 648.87 "," 648.87 ","Mon","Sat",292,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00392","North","Ling","Deliver","","27-Jan-21","04-Feb-21",1,"","",0.25," 120.00 ","Account"," 8 ",80," 20.00 "," 20.00 "," 120.00 "," 140.00 "," 140.00 ","Wed","Thu",293,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00393","North","Ling","Replace","Yes","27-Jan-21","22-Feb-21",2,"","",0.5," 5.47 ","C.O.D."," 26 ",140," 70.00 "," 70.00 "," 5.47 "," 75.47 "," 75.47 ","Wed","Mon",294,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00394","Southeast","Khan","Assess","","28-Jan-21","08-Feb-21",1,"","",1.0," 60.00 ","C.O.D."," 11 ",80," 80.00 "," 80.00 "," 60.00 "," 140.00 "," 140.00 ","Thu","Mon",295,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00395","Northwest","Burton","Replace","","28-Jan-21","10-Feb-21",1,"","",0.75," 114.89 ","P.O."," 13 ",80," 60.00 "," 60.00 "," 114.89 "," 174.89 "," 174.89 ","Thu","Wed",296,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00396","North","Ling","Assess","","28-Jan-21","18-Feb-21",2,"","",0.25," 23.90 ","C.O.D."," 21 ",140," 35.00 "," 35.00 "," 23.90 "," 58.90 "," 58.90 ","Thu","Thu",297,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
