"Policy","Expiry","Location","State","Region","InsuredValue","Construction","BusinessType","Earthquake","Flood","ROW_NUMBER","FILE_NAME","FILE_DATE"
100600,"2021-05-12","Urban","WI","Midwest",3086048,"Frame","Hospitality","Y","Y",181,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100655,"2021-05-12","Urban","NY","East",1974300,"Masonry","Organization","Y","Y",182,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100671,"2021-05-12","Rural","NY","East",3660780,"Frame","Farming","N","N",183,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100646,"2021-05-13","Urban","NY","East",2550000,"Frame","Apartment","Y","Y",184,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100618,"2021-05-14","Urban","NY","East",2730000,"Metal Clad","Hospitality","Y","Y",185,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100681,"2021-05-14","Urban","NY","East",963100,"Metal Clad","Apartment","Y","Y",186,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100619,"2021-05-15","Rural","NY","East",1419500,"Frame","Farming","N","N",187,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100627,"2021-05-16","Urban","NY","East",2758482,"Fire Resist","Apartment","Y","Y",188,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100670,"2021-05-16","Urban","OH","Central",661900,"Frame","Apartment","N","N",189,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100689,"2021-05-16","Urban","NY","East",19451600,"Frame","Office Bldg","Y","Y",190,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100726,"2021-05-16","Urban","NY","East",1292345,"Frame","Office Bldg","N","N",191,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100702,"2021-05-17","Urban","VT","Northeast",9702682,"Frame","Apartment","N","N",192,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100703,"2021-05-17","Urban","NJ","East",10198700,"Fire Resist","Office Bldg","Y","Y",193,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100635,"2021-05-18","Urban","MI","Central",714000,"Frame","Apartment","N","N",194,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100736,"2021-05-18","Rural","VT","Northeast",2099525,"Frame","Farming","N","N",195,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100737,"2021-05-18","Urban","NJ","East",16200000,"Frame","Office Bldg","Y","Y",196,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100644,"2021-05-19","Urban","NY","East",2570600,"Masonry","Office Bldg","Y","Y",197,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100643,"2021-05-20","Urban","NY","East",1280000,"Fire Resist","Hospitality","Y","Y",198,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100698,"2021-05-20","Urban","NY","East",205000,"Fire Resist","Retail","N","N",199,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100652,"2021-05-21","Urban","OH","Central",1760800,"Frame","Apartment","N","N",200,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100653,"2021-05-21","Urban","NJ","East",2812559,"Frame","Farming","N","N",201,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100705,"2021-05-21","Rural","NY","East",3943000,"Frame","Farming","N","N",202,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100718,"2021-05-21","Urban","NY","East",3107790,"Masonry","Office Bldg","N","Y",203,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100744,"2021-05-21","Urban","NY","East",9448200,"Frame","Apartment","Y","Y",204,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100709,"2021-05-22","Rural","MI","Central",10617800,"Frame","Manufacturing","Y","Y",205,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100749,"2021-05-22","Urban","NY","East",847300,"Frame","Apartment","Y","Y",206,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100751,"2021-05-22","Urban","NJ","East",400000,"Masonry","Office Bldg","N","Y",207,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100752,"2021-05-22","Urban","NY","East",363200,"Frame","Office Bldg","N","Y",208,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100696,"2021-05-23","Urban","IL","Midwest",2922600,"Masonry","Apartment","Y","Y",209,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100742,"2021-05-23","Urban","WI","Midwest",500500,"Masonry","Apartment","Y","Y",210,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100666,"2021-05-24","Rural","NY","East",1927450,"Frame","Farming","N","N",211,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100667,"2021-05-25","Rural","NY","East",2660299,"Frame","Farming","N","N",212,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100740,"2021-05-25","Urban","WI","Midwest",3980100,"Masonry","Apartment","N","N",213,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100757,"2021-05-25","Urban","WI","Midwest",2987000,"Masonry","Apartment","Y","Y",214,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100750,"2021-05-27","Urban","VT","Northeast",16429900,"Frame","Apartment","Y","Y",215,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100756,"2021-05-27","Urban","NY","East",16950000,"Frame","Apartment","Y","Y",216,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100754,"2021-05-29","Urban","NY","East",36909180,"Metal Clad","Manufacturing","Y","Y",217,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100764,"2021-05-29","Urban","NY","East",9600000,"Frame","Office Bldg","Y","N",218,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100724,"2021-05-30","Urban","NY","East",22050000,"Frame","Office Bldg","Y","Y",219,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100686,"2021-06-01","Urban","NY","East",3850000,"Frame","Construction","N","Y",220,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100761,"2021-06-02","Urban","VT","Northeast",13514081,"Frame","Recreation","Y","Y",221,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100695,"2021-06-03","Urban","NY","East",2000000,"Frame","Hospitality","Y","Y",222,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100727,"2021-06-03","Rural","WI","Midwest",1658765,"Masonry","Farming","N","N",223,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100777,"2021-06-03","Urban","OH","Central",8272853,"Masonry","Apartment","N","N",224,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100774,"2021-06-04","Urban","NY","East",6750000,"Frame","Apartment","Y","Y",225,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100720,"2021-06-05","Urban","IL","Midwest",7828000,"Masonry","Office Bldg","N","Y",226,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100723,"2021-06-05","Urban","NJ","East",373500,"Frame","Office Bldg","N","N",227,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100759,"2021-06-05","Urban","NY","East",17050000,"Frame","Office Bldg","Y","Y",228,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100722,"2021-06-06","Rural","NY","East",1958400,"Frame","Farming","N","N",229,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100731,"2021-06-06","Urban","NY","East",17746832,"Masonry","Apartment","Y","Y",230,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100755,"2021-06-06","Urban","WI","Midwest",6040300,"Masonry","Apartment","Y","N",231,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100745,"2021-06-07","Rural","WI","Midwest",2224219,"Frame","Farming","N","N",232,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100746,"2021-06-07","Urban","NY","East",847300,"Frame","Office Bldg","Y","Y",233,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100747,"2021-06-07","Urban","WI","Midwest",782428,"Masonry","Apartment","N","N",234,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100780,"2021-06-08","Urban","NJ","East",299400,"Frame","Office Bldg","Y","N",235,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100760,"2021-06-09","Urban","WI","Midwest",1397100,"Masonry","Office Bldg","Y","Y",236,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100781,"2021-06-09","Urban","NY","East",1714835,"Frame","Apartment","N","N",237,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100783,"2021-06-09","Urban","MI","Central",1991600,"Frame","Organization","N","N",238,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100768,"2021-06-10","Urban","WI","Midwest",3701573,"Frame","Farming","N","N",239,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100769,"2021-06-10","Urban","NJ","East",5460000,"Frame","Apartment","Y","Y",240,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100775,"2021-06-10","Rural","NY","East",3136600,"Frame","Farming","N","N",241,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100773,"2021-06-11","Urban","NY","East",1780000,"Frame","Hospitality","Y","Y",242,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100789,"2021-08-26","Urban","NY","East",230000,"Frame","Manufacturing","Y","Y",243,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100790,"2021-08-26","Urban","NJ","East",1463800,"Frame","Farming","Y","N",244,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100792,"2021-08-26","Rural","VT","Northeast",3579800,"Metal Clad","Farming","N","N",245,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100793,"2021-08-27","Urban","NY","East",1275600,"Frame","Apartment","N","Y",246,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100797,"2021-08-29","Rural","NY","East",5781710,"Frame","Farming","N","N",247,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100799,"2021-08-30","Urban","NH","Northeast",320000,"Masonry","Retail","N","N",248,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100800,"2021-08-30","Urban","NY","East",1379400,"Frame","Apartment","N","N",249,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100801,"2021-08-31","Rural","WI","Midwest",6385452,"Frame","Farming","Y","N",250,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100803,"2021-08-31","Urban","WI","Midwest",4671000,"Masonry","Apartment","Y","Y",251,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100805,"2021-09-01","Rural","NY","East",199000,"Frame","Retail","N","N",252,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100808,"2021-09-02","Urban","WI","Midwest",2100000,"Frame","Apartment","N","N",253,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100810,"2021-09-02","Urban","NY","East",1875000,"Masonry","Hospitality","Y","Y",254,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100811,"2021-09-02","Rural","WI","Midwest",2201500,"Frame","Farming","N","N",255,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100813,"2021-09-02","Urban","NY","East",1986100,"Frame","Apartment","N","N",256,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100814,"2021-09-02","Urban","WI","Midwest",105000,"Masonry","Other","N","N",257,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100817,"2021-09-03","Urban","NJ","East",3700000,"Masonry","Office Bldg","Y","Y",258,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100818,"2021-09-03","Urban","IL","Midwest",29128000,"Fire Resist","Apartment","Y","Y",259,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100819,"2021-09-05","Urban","VT","Northeast",10700000,"Frame","Hospitality","Y","Y",260,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100821,"2021-09-05","Rural","WI","Midwest",1778600,"Frame","Farming","N","N",261,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100822,"2021-09-06","Rural","NY","East",3866420,"Frame","Farming","N","N",262,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100823,"2021-09-06","Urban","NY","East",1037500,"Frame","Manufacturing","N","N",263,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100824,"2021-09-07","Rural","NY","East",2480800,"Frame","Farming","N","N",264,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100825,"2021-09-07","Urban","WI","Midwest",578400,"Masonry","Office Bldg","N","N",265,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100826,"2021-09-07","Urban","NY","East",3178400,"Frame","Office Bldg","Y","Y",266,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100828,"2021-09-09","Urban","ME","Northeast",7150000,"Masonry","Apartment","Y","Y",267,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100831,"2021-09-10","Urban","NJ","East",1604800,"Frame","Hospitality","Y","Y",268,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100832,"2021-09-10","Urban","NY","East",18275350,"Frame","Office Bldg","Y","Y",269,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100834,"2021-09-11","Urban","NY","East",710400,"Masonry","Office Bldg","N","N",270,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100836,"2021-09-11","Urban","WI","Midwest",2205950,"Masonry","Apartment","N","N",271,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100837,"2021-09-11","Urban","WI","Midwest",8166050,"Fire Resist","Apartment","N","Y",272,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100838,"2021-09-11","Urban","WI","Midwest",3222081,"Masonry","Farming","N","N",273,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100839,"2021-09-13","Urban","NJ","East",371600,"Frame","Hospitality","Y","N",274,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100844,"2021-09-15","Urban","WI","Midwest",1365000,"Masonry","Hospitality","Y","Y",275,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100845,"2021-09-15","Urban","NY","East",24000000,"Frame","Apartment","Y","Y",276,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100846,"2021-09-15","Urban","NY","East",7700000,"Fire Resist","Construction","Y","Y",277,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100850,"2021-09-16","Urban","IL","Midwest",4578800,"Frame","Farming","N","N",278,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100854,"2021-09-21","Rural","VT","Northeast",2477200,"Frame","Farming","N","N",279,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100856,"2021-09-22","Urban","NJ","East",3432600,"Frame","Office Bldg","Y","Y",280,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100857,"2021-09-23","Rural","IL","Midwest",172100,"Frame","Farming","N","N",281,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100859,"2021-09-23","Urban","NY","East",11147050,"Fire Resist","Apartment","Y","Y",282,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100861,"2021-09-23","Urban","NY","East",2007000,"Frame","Office Bldg","Y","Y",283,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100863,"2021-09-24","Urban","NY","East",9404500,"Frame","Apartment","Y","Y",284,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100864,"2021-09-24","Urban","NY","East",5056900,"Fire Resist","Apartment","Y","Y",285,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100868,"2021-09-26","Urban","WI","Midwest",4577032,"Frame","Farming","N","N",286,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100869,"2021-09-26","Urban","NY","East",953100,"Metal Clad","Office Bldg","N","N",287,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100870,"2021-09-27","Rural","NY","East",2562500,"Fire Resist","Manufacturing","N","N",288,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100872,"2021-09-28","Urban","NY","East",6908000,"Frame","Office Bldg","Y","Y",289,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100873,"2021-09-29","Urban","VT","Northeast",1588100,"Masonry","Recreation","N","N",290,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100874,"2021-09-30","Urban","NY","East",311200,"Frame","Apartment","N","N",291,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100875,"2021-10-01","Urban","NY","East",14850000,"Frame","Office Bldg","Y","Y",292,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100876,"2021-10-01","Urban","NY","East",1557500,"Frame","Office Bldg","N","Y",293,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100878,"2021-10-01","Urban","NY","East",4267000,"Frame","Office Bldg","Y","Y",294,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100882,"2021-10-03","Urban","IL","Midwest",1702350,"Frame","Apartment","N","N",295,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100883,"2021-10-04","Urban","NY","East",280600,"Frame","Office Bldg","N","N",296,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100885,"2021-10-04","Urban","WI","Midwest",2025100,"Masonry","Office Bldg","N","N",297,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100886,"2021-10-04","Urban","NY","East",6748000,"Frame","Apartment","Y","Y",298,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100887,"2021-10-05","Urban","WI","Midwest",2067500,"Fire Resist","Service","Y","Y",299,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100889,"2021-10-05","Urban","NY","East",3235700,"Frame","Apartment","Y","Y",300,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100894,"2021-10-07","Urban","NY","East",2356100,"Frame","Hospitality","Y","Y",301,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100895,"2021-10-07","Urban","NY","East",7932500,"Frame","Apartment","Y","Y",302,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100898,"2021-10-10","Urban","NY","East",1851125,"Frame","Office Bldg","N","N",303,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100900,"2021-10-11","Urban","NY","East",8345500,"Frame","Apartment","Y","Y",304,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100901,"2021-10-11","Urban","NY","East",2400000,"Frame","Construction","Y","Y",305,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100903,"2021-10-12","Urban","WI","Midwest",1675000,"Frame","Hospitality","Y","Y",306,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100904,"2021-10-13","Urban","NH","Northeast",145680,"Frame","Office Bldg","N","N",307,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100908,"2021-10-14","Urban","NY","East",13900000,"Frame","Office Bldg","Y","Y",308,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100909,"2021-10-14","Urban","NY","East",13575000,"Frame","Office Bldg","Y","Y",309,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100910,"2021-10-14","Urban","NY","East",5950500,"Metal Clad","Office Bldg","Y","Y",310,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100912,"2021-10-15","Urban","OH","Central",1569440,"Masonry","Organization","N","N",311,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100215,"2021-10-17","Urban","NY","East",2131900,"Masonry","Retail","N","N",312,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100914,"2021-10-17","Urban","WI","Midwest",631410,"Frame","Farming","N","N",313,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100916,"2021-10-18","Urban","NY","East",1856637,"Masonry","Hospitality","Y","Y",314,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100919,"2021-10-20","Urban","WI","Midwest",2321900,"Frame","Manufacturing","N","N",315,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100920,"2021-10-20","Urban","NJ","East",4726686,"Frame","Farming","Y","N",316,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100228,"2021-10-21","Urban","ME","Northeast",1444255,"Frame","Organization","N","N",317,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100923,"2021-10-21","Urban","NY","East",1830900,"Frame","Office Bldg","N","N",318,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100927,"2021-10-22","Urban","VT","Northeast",1325200,"Frame","Organization","N","N",319,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100928,"2021-10-22","Urban","NY","East",1267625,"Frame","Office Bldg","N","N",320,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100929,"2021-10-22","Rural","NY","East",3409000,"Metal Clad","Farming","N","N",321,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100214,"2021-10-23","Urban","NY","East",33250000,"Frame","Apartment","Y","Y",322,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100932,"2021-10-23","Urban","NJ","East",320100,"Frame","Apartment","N","N",323,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100933,"2021-10-23","Urban","WI","Midwest",275000,"Masonry","Apartment","N","N",324,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100934,"2021-10-24","Urban","WI","Midwest",1519100,"Masonry","Apartment","N","N",325,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100936,"2021-10-26","Rural","IL","Midwest",2182250,"Frame","Farming","N","N",326,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100250,"2021-10-27","Rural","WI","Midwest",4328620,"Frame","Farming","N","N",327,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100939,"2021-10-27","Urban","NJ","East",1840000,"Masonry","Apartment","N","N",328,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100940,"2021-10-28","Urban","NY","East",21250000,"Frame","Office Bldg","Y","Y",329,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100941,"2021-10-28","Rural","NY","East",2534633,"Frame","Farming","N","N",330,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100942,"2021-10-28","Urban","NY","East",2494300,"Frame","Apartment","Y","Y",331,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100943,"2021-10-28","Urban","NY","East",2562500,"Frame","Apartment","Y","Y",332,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100227,"2021-10-29","Urban","WI","Midwest",685000,"Masonry","Hospitality","Y","Y",333,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100945,"2021-10-29","Urban","NY","East",503000,"Masonry","Hospitality","N","Y",334,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100947,"2021-10-29","Urban","NY","East",10259600,"Frame","Apartment","Y","Y",335,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100226,"2021-10-30","Urban","NY","East",3798400,"Metal Clad","Office Bldg","Y","Y",336,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100948,"2021-10-30","Urban","NJ","East",2269865,"Masonry","Retail","Y","Y",337,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100950,"2021-10-31","Urban","NY","East",2363700,"Frame","Farming","N","N",338,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100249,"2021-11-01","Urban","WI","Midwest",1960200,"Masonry","Farming","N","N",339,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100952,"2021-11-01","Urban","IL","Midwest",16833800,"Fire Resist","Apartment","Y","Y",340,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100953,"2021-11-01","Rural","NY","East",4127900,"Metal Clad","Farming","N","N",341,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100955,"2021-11-03","Urban","NJ","East",2753500,"Masonry","Office Bldg","Y","Y",342,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100287,"2021-11-04","Urban","NY","East",10518041,"Frame","Office Bldg","Y","Y",343,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100956,"2021-11-04","Urban","NJ","East",1554500,"Frame","Farming","N","N",344,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100959,"2021-11-05","Urban","NJ","East",1115870,"Frame","Farming","Y","N",345,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100261,"2021-11-06","Urban","NY","East",15625000,"Frame","Office Bldg","Y","Y",346,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100961,"2021-11-06","Urban","IL","Midwest",787500,"Frame","Apartment","N","N",347,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100962,"2021-11-07","Urban","NY","East",15750000,"Masonry","Apartment","Y","Y",348,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100966,"2021-11-07","Urban","OH","Central",320000,"Masonry","Retail","N","N",349,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100969,"2021-11-09","Rural","WI","Midwest",2611400,"Frame","Farming","N","N",350,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100972,"2021-11-09","Rural","NY","East",2398000,"Metal Clad","Farming","N","N",351,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100974,"2021-11-10","Urban","NJ","East",2329942,"Frame","Farming","Y","N",352,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100975,"2021-11-10","Urban","MN","Midwest",1305100,"Frame","Apartment","Y","Y",353,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100977,"2021-11-10","Rural","NY","East",4981500,"Frame","Farming","N","N",354,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100978,"2021-11-10","Urban","NY","East",535000,"Fire Resist","Retail","N","N",355,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100981,"2021-11-10","Urban","NY","East",10397500,"Frame","Apartment","Y","Y",356,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100240,"2021-11-11","Urban","NJ","East",2003000,"Masonry","Apartment","Y","Y",357,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100982,"2021-11-11","Urban","NY","East",10808800,"Frame","Office Bldg","Y","Y",358,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100983,"2021-11-11","Urban","NY","East",1962400,"Frame","Apartment","N","N",359,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100239,"2021-11-12","Urban","NJ","East",2423500,"Frame","Apartment","Y","Y",360,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100985,"2021-11-12","Rural","NY","East",3067800,"Frame","Farming","N","N",361,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
